,Date,Name of State / UT,Cured/Discharged/Migrated,Latitude,Longitude,Death,Total Confirmed cases
227,2020-03-20,Andhra Pradesh,0,15.9129,79.74,0,2
228,2020-03-20,Chhattisgarh,0,21.2787,81.8661,0,1
229,2020-03-20,Delhi,3,28.7041,77.1025,1,17
230,2020-03-20,Gujarat,0,22.2587,71.1924,0,2
231,2020-03-20,Haryana,0,29.0588,76.0856,0,17
232,2020-03-20,Karnataka,0,15.3173,75.7139,1,15
233,2020-03-20,Kerala,3,10.8505,76.2711,0,28
234,2020-03-20,Maharashtra,0,19.7515,75.7139,1,47
235,2020-03-20,Odisha,0,20.9517,85.0985,0,1
236,2020-03-20,Puducherry,0,11.9416,79.8083,0,1
237,2020-03-20,Punjab,0,31.1471,75.3412,1,2
238,2020-03-20,Rajasthan,3,27.0238,74.2179,0,7
239,2020-03-20,Tamil Nadu,1,11.1271,78.6569,0,3
240,2020-03-20,Telengana,1,18.1124,79.0193,0,16
241,2020-03-20,Union Territory of Chandigarh,0,30.7333,76.7794,0,1
242,2020-03-20,Union Territory of Jammu and Kashmir,0,33.7782,76.5762,0,4
243,2020-03-20,Union Territory of Ladakh,0,34.2996,78.2932,0,10
244,2020-03-20,Uttar Pradesh,9,26.8467,80.9462,0,19
245,2020-03-20,Uttarakhand,0,30.0668,79.0193,0,1
246,2020-03-20,West Bengal,0,22.9868,87.855,0,1
