,Date,Name of State / UT,Cured/Discharged/Migrated,Latitude,Longitude,Death,Total Confirmed cases
269,2020-03-22,Andhra Pradesh,0,15.9129,79.74,0,5
270,2020-03-22,Bihar,0,25.0961,85.3131,1,2
271,2020-03-22,Chandigarh,0,30.7333,76.7794,0,5
272,2020-03-22,Chhattisgarh,0,21.2787,81.8661,0,1
273,2020-03-22,Delhi,5,28.7041,77.1025,1,29
274,2020-03-22,Gujarat,0,22.2587,71.1924,1,18
275,2020-03-22,Haryana,0,29.0588,76.0856,0,21
276,2020-03-22,Himachal Pradesh,0,31.1048,77.1734,0,2
277,2020-03-22,Jammu and Kashmir,0,33.7782,76.5762,0,4
278,2020-03-22,Karnataka,2,15.3173,75.7139,1,26
279,2020-03-22,Kerala,3,10.8505,76.2711,0,52
280,2020-03-22,Ladakh,0,34.2996,78.2932,0,13
281,2020-03-22,Madhya Pradesh,0,22.9734,78.6569,0,4
282,2020-03-22,Maharashtra,0,19.7515,75.7139,2,67
283,2020-03-22,Odisha,0,20.9517,85.0985,0,2
284,2020-03-22,Puducherry,0,11.9416,79.8083,0,1
285,2020-03-22,Punjab,0,31.1471,75.3412,1,21
286,2020-03-22,Rajasthan,3,27.0238,74.2179,0,24
287,2020-03-22,Tamil Nadu,1,11.1271,78.6569,0,7
288,2020-03-22,Telengana,1,18.1124,79.0193,0,22
289,2020-03-22,Uttar Pradesh,9,26.8467,80.9462,0,27
290,2020-03-22,Uttarakhand,0,30.0668,79.0193,0,3
291,2020-03-22,West Bengal,0,22.9868,87.855,0,4
