,Date,Name of State / UT,Cured/Discharged/Migrated,Latitude,Longitude,Death,Total Confirmed cases
191,2020-03-18,Andhra Pradesh,0,15.9129,79.74,0,1
192,2020-03-18,Delhi,2,28.7041,77.1025,1,10
193,2020-03-18,Haryana,0,29.0588,76.0856,0,17
194,2020-03-18,Karnataka,0,15.3173,75.7139,1,11
195,2020-03-18,Kerala,3,10.8505,76.2711,0,27
196,2020-03-18,Maharashtra,0,19.7515,75.7139,1,42
197,2020-03-18,Odisha,0,20.9517,85.0985,0,1
198,2020-03-18,Puducherry,0,11.9416,79.8083,0,1
199,2020-03-18,Punjab,0,31.1471,75.3412,0,1
200,2020-03-18,Rajasthan,3,27.0238,74.2179,0,4
201,2020-03-18,Tamil Nadu,0,11.1271,78.6569,0,1
202,2020-03-18,Telengana,1,18.1124,79.0193,0,6
203,2020-03-18,Union Territory of Jammu and Kashmir,0,33.7782,76.5762,0,3
204,2020-03-18,Union Territory of Ladakh,0,34.2996,78.2932,0,8
205,2020-03-18,Uttar Pradesh,5,26.8467,80.9462,0,16
206,2020-03-18,Uttarakhand,0,30.0668,79.0193,0,1
207,2020-03-18,West Bengal,0,22.9868,87.855,0,1
