,Date,Name of State / UT,Cured/Discharged/Migrated,Latitude,Longitude,Death,Total Confirmed cases
951,2020-04-15,Andaman and Nicobar Islands,10,11.7401,92.6586,0,11
952,2020-04-15,Andhra Pradesh,16,15.9129,79.74,9,483
953,2020-04-15,Arunachal Pradesh,0,28.218000000000004,94.7278,0,1
954,2020-04-15,Assam,0,26.2006,92.9376,1,32
955,2020-04-15,Bihar,29,25.0961,85.3131,1,66
956,2020-04-15,Chandigarh,7,30.7333,76.7794,0,21
957,2020-04-15,Chhattisgarh,13,21.2787,81.8661,0,33
958,2020-04-15,Delhi,30,28.7041,77.1025,30,1561
959,2020-04-15,Goa,5,15.2993,74.124,0,7
960,2020-04-15,Gujarat,59,22.2587,71.1924,28,650
961,2020-04-15,Haryana,34,29.0588,76.0856,3,199
962,2020-04-15,Himachal Pradesh,13,31.1048,77.1734,1,33
963,2020-04-15,Jammu and Kashmir,30,33.7782,76.5762,4,278
964,2020-04-15,Jharkhand,0,23.6102,85.2799,2,27
965,2020-04-15,Karnataka,71,15.3173,75.7139,10,260
966,2020-04-15,Kerala,211,10.8505,76.2711,3,387
967,2020-04-15,Ladakh,10,34.2996,78.2932,0,17
968,2020-04-15,Madhya Pradesh,51,22.9734,78.6569,50,730
969,2020-04-15,Maharashtra,259,19.7515,75.7139,178,2687
970,2020-04-15,Manipur,1,24.6637,93.9063,0,2
971,2020-04-15,Meghalaya,0,25.467,91.3662,0,1
972,2020-04-15,Mizoram,0,23.1645,92.9376,0,1
973,2020-04-15,Odisha,18,20.9517,85.0985,1,60
974,2020-04-15,Puducherry,1,11.9416,79.8083,0,7
975,2020-04-15,Punjab,14,31.1471,75.3412,12,176
976,2020-04-15,Rajasthan,147,27.0238,74.2179,3,969
977,2020-04-15,Tamil Nadu,81,11.1271,78.6569,12,1204
978,2020-04-15,Telengana,100,18.1124,79.0193,17,624
979,2020-04-15,Tripura,0,23.9408,91.9882,0,2
980,2020-04-15,Uttar Pradesh,50,26.8467,80.9462,5,660
981,2020-04-15,Uttarakhand,9,30.0668,79.0193,0,37
982,2020-04-15,West Bengal,37,22.9868,87.855,7,213
