,Date,Name of State / UT,Cured/Discharged/Migrated,Latitude,Longitude,Death,Total Confirmed cases
1788,2020-05-11,Andaman and Nicobar Islands,33,11.7401,92.6586,0,33
1789,2020-05-11,Andhra Pradesh,925,15.9129,79.74,45,1980
1790,2020-05-11,Arunachal Pradesh,1,28.218000000000004,94.7278,0,1
1791,2020-05-11,Assam,34,26.2006,92.9376,2,63
1792,2020-05-11,Bihar,365,25.0961,85.3131,6,696
1793,2020-05-11,Chandigarh,24,30.7333,76.7794,2,169
1794,2020-05-11,Chhattisgarh,49,21.2787,81.8661,0,59
1795,2020-05-11,Dadar Nagar Haveli,0,20.1809,73.0169,0,1
1796,2020-05-11,Delhi,2069,28.7041,77.1025,73,6923
1797,2020-05-11,Goa,7,15.2993,74.124,0,7
1798,2020-05-11,Gujarat,2545,22.2587,71.1924,493,8194
1799,2020-05-11,Haryana,300,29.0588,76.0856,10,703
1800,2020-05-11,Himachal Pradesh,39,31.1048,77.1734,2,55
1801,2020-05-11,Jammu and Kashmir,383,33.7782,76.5762,9,861
1802,2020-05-11,Jharkhand,78,23.6102,85.2799,3,157
1803,2020-05-11,Karnataka,424,15.3173,75.7139,31,848
1804,2020-05-11,Kerala,489,10.8505,76.2711,4,512
1805,2020-05-11,Ladakh,21,34.2996,78.2932,0,42
1806,2020-05-11,Madhya Pradesh,1676,22.9734,78.6569,215,3614
1807,2020-05-11,Maharashtra,4199,19.7515,75.7139,832,22171
1808,2020-05-11,Manipur,2,24.6637,93.9063,0,2
1809,2020-05-11,Meghalaya,10,25.467,91.3662,1,13
1810,2020-05-11,Mizoram,1,23.1645,92.9376,0,1
1811,2020-05-11,Odisha,68,20.9517,85.0985,3,377
1812,2020-05-11,Puducherry,6,11.9416,79.8083,0,9
1813,2020-05-11,Punjab,166,31.1471,75.3412,31,1823
1814,2020-05-11,Rajasthan,2176,27.0238,74.2179,107,3814
1815,2020-05-11,Tamil Nadu,1959,11.1271,78.6569,47,7204
1816,2020-05-11,Telengana,750,18.1124,79.0193,30,1196
1817,2020-05-11,Tripura,2,23.9408,91.9882,0,150
1818,2020-05-11,Uttar Pradesh,1653,26.8467,80.9462,74,3467
1819,2020-05-11,Uttarakhand,46,30.0668,79.0193,1,68
1820,2020-05-11,West Bengal,417,22.9868,87.855,185,1939
