,Date,Name of State / UT,Cured/Discharged/Migrated,Latitude,Longitude,Death,Total Confirmed cases
315,2020-03-24,Andhra Pradesh,0,15.9129,79.74,0,8
316,2020-03-24,Bihar,0,25.0961,85.3131,1,3
317,2020-03-24,Chandigarh,0,30.7333,76.7794,0,7
318,2020-03-24,Chhattisgarh,0,21.2787,81.8661,0,1
319,2020-03-24,Delhi,6,28.7041,77.1025,2,30
320,2020-03-24,Gujarat,0,22.2587,71.1924,1,33
321,2020-03-24,Haryana,11,29.0588,76.0856,0,28
322,2020-03-24,Himachal Pradesh,0,31.1048,77.1734,1,3
323,2020-03-24,Jammu and Kashmir,0,33.7782,76.5762,0,4
324,2020-03-24,Karnataka,3,15.3173,75.7139,1,37
325,2020-03-24,Kerala,4,10.8505,76.2711,0,95
326,2020-03-24,Ladakh,0,34.2996,78.2932,0,13
327,2020-03-24,Madhya Pradesh,0,22.9734,78.6569,0,7
328,2020-03-24,Maharashtra,0,19.7515,75.7139,2,89
329,2020-03-24,Manipur,0,24.6637,93.9063,0,1
330,2020-03-24,Odisha,0,20.9517,85.0985,0,2
331,2020-03-24,Puducherry,0,11.9416,79.8083,0,1
332,2020-03-24,Punjab,0,31.1471,75.3412,1,29
333,2020-03-24,Rajasthan,3,27.0238,74.2179,0,32
334,2020-03-24,Tamil Nadu,1,11.1271,78.6569,0,15
335,2020-03-24,Telengana,1,18.1124,79.0193,0,35
336,2020-03-24,Uttar Pradesh,11,26.8467,80.9462,0,33
337,2020-03-24,Uttarakhand,0,30.0668,79.0193,0,4
338,2020-03-24,West Bengal,0,22.9868,87.855,1,9
