,Date,Name of State / UT,Cured/Discharged/Migrated,Latitude,Longitude,Death,Total Confirmed cases
1689,2020-05-08,Andaman and Nicobar Islands,33,11.7401,92.6586,0,33
1690,2020-05-08,Andhra Pradesh,780,15.9129,79.74,38,1847
1691,2020-05-08,Arunachal Pradesh,1,28.218000000000004,94.7278,0,1
1692,2020-05-08,Assam,34,26.2006,92.9376,1,54
1693,2020-05-08,Bihar,246,25.0961,85.3131,5,550
1694,2020-05-08,Chandigarh,21,30.7333,76.7794,1,135
1695,2020-05-08,Chhattisgarh,38,21.2787,81.8661,0,59
1696,2020-05-08,Dadar Nagar Haveli,0,20.1809,73.0169,0,1
1697,2020-05-08,Delhi,1931,28.7041,77.1025,66,5980
1698,2020-05-08,Goa,7,15.2993,74.124,0,7
1699,2020-05-08,Gujarat,1709,22.2587,71.1924,425,7012
1700,2020-05-08,Haryana,260,29.0588,76.0856,7,625
1701,2020-05-08,Himachal Pradesh,38,31.1048,77.1734,2,46
1702,2020-05-08,Jammu and Kashmir,335,33.7782,76.5762,9,793
1703,2020-05-08,Jharkhand,41,23.6102,85.2799,3,132
1704,2020-05-08,Karnataka,366,15.3173,75.7139,30,705
1705,2020-05-08,Kerala,474,10.8505,76.2711,4,503
1706,2020-05-08,Ladakh,17,34.2996,78.2932,0,42
1707,2020-05-08,Madhya Pradesh,1231,22.9734,78.6569,193,3252
1708,2020-05-08,Maharashtra,3301,19.7515,75.7139,694,17974
1709,2020-05-08,Manipur,2,24.6637,93.9063,0,2
1710,2020-05-08,Meghalaya,10,25.467,91.3662,1,12
1711,2020-05-08,Mizoram,0,23.1645,92.9376,0,1
1712,2020-05-08,Odisha,62,20.9517,85.0985,2,219
1713,2020-05-08,Puducherry,6,11.9416,79.8083,0,9
1714,2020-05-08,Punjab,149,31.1471,75.3412,28,1644
1715,2020-05-08,Rajasthan,1596,27.0238,74.2179,97,3427
1716,2020-05-08,Tamil Nadu,1547,11.1271,78.6569,37,5409
1717,2020-05-08,Telengana,650,18.1124,79.0193,29,1123
1718,2020-05-08,Tripura,2,23.9408,91.9882,0,65
1719,2020-05-08,Uttar Pradesh,1250,26.8467,80.9462,62,3071
1720,2020-05-08,Uttarakhand,39,30.0668,79.0193,1,61
1721,2020-05-08,West Bengal,364,22.9868,87.855,151,1548
