,Date,Name of State / UT,Cured/Discharged/Migrated,Latitude,Longitude,Death,Total Confirmed cases
1591,2020-05-05,Andaman and Nicobar Islands,32,11.7401,92.6586,0,33
1592,2020-05-05,Andhra Pradesh,524,15.9129,79.74,36,1650
1593,2020-05-05,Arunachal Pradesh,1,28.218000000000004,94.7278,0,1
1594,2020-05-05,Assam,32,26.2006,92.9376,1,43
1595,2020-05-05,Bihar,130,25.0961,85.3131,4,528
1596,2020-05-05,Chandigarh,21,30.7333,76.7794,1,102
1597,2020-05-05,Chhattisgarh,36,21.2787,81.8661,0,58
1598,2020-05-05,Delhi,1431,28.7041,77.1025,64,4898
1599,2020-05-05,Goa,7,15.2993,74.124,0,7
1600,2020-05-05,Gujarat,1195,22.2587,71.1924,319,5804
1601,2020-05-05,Haryana,254,29.0588,76.0856,6,517
1602,2020-05-05,Himachal Pradesh,34,31.1048,77.1734,1,41
1603,2020-05-05,Jammu and Kashmir,303,33.7782,76.5762,8,726
1604,2020-05-05,Jharkhand,27,23.6102,85.2799,3,115
1605,2020-05-05,Karnataka,321,15.3173,75.7139,27,651
1606,2020-05-05,Kerala,462,10.8505,76.2711,4,500
1607,2020-05-05,Ladakh,17,34.2996,78.2932,0,41
1608,2020-05-05,Madhya Pradesh,798,22.9734,78.6569,165,2942
1609,2020-05-05,Maharashtra,2465,19.7515,75.7139,583,14541
1610,2020-05-05,Manipur,2,24.6637,93.9063,0,2
1611,2020-05-05,Meghalaya,0,25.467,91.3662,1,12
1612,2020-05-05,Mizoram,0,23.1645,92.9376,0,1
1613,2020-05-05,Odisha,60,20.9517,85.0985,1,169
1614,2020-05-05,Puducherry,5,11.9416,79.8083,0,8
1615,2020-05-05,Punjab,121,31.1471,75.3412,23,1233
1616,2020-05-05,Rajasthan,1394,27.0238,74.2179,77,3061
1617,2020-05-05,Tamil Nadu,1409,11.1271,78.6569,31,3550
1618,2020-05-05,Telengana,585,18.1124,79.0193,29,1085
1619,2020-05-05,Tripura,2,23.9408,91.9882,0,29
1620,2020-05-05,Uttar Pradesh,802,26.8467,80.9462,50,2766
1621,2020-05-05,Uttarakhand,39,30.0668,79.0193,1,60
1622,2020-05-05,West Bengal,218,22.9868,87.855,133,1259
