,Date,Name of State / UT,Cured/Discharged/Migrated,Latitude,Longitude,Death,Total Confirmed cases
1367,2020-04-28,Andaman and Nicobar Islands,11,11.7401,92.6586,0,33
1368,2020-04-28,Andhra Pradesh,235,15.9129,79.74,31,1183
1369,2020-04-28,Arunachal Pradesh,1,28.218000000000004,94.7278,0,1
1370,2020-04-28,Assam,27,26.2006,92.9376,1,36
1371,2020-04-28,Bihar,57,25.0961,85.3131,2,345
1372,2020-04-28,Chandigarh,17,30.7333,76.7794,0,40
1373,2020-04-28,Chhattisgarh,32,21.2787,81.8661,0,37
1374,2020-04-28,Delhi,877,28.7041,77.1025,54,3108
1375,2020-04-28,Goa,7,15.2993,74.124,0,7
1376,2020-04-28,Gujarat,394,22.2587,71.1924,162,3548
1377,2020-04-28,Haryana,183,29.0588,76.0856,3,296
1378,2020-04-28,Himachal Pradesh,22,31.1048,77.1734,1,40
1379,2020-04-28,Jammu and Kashmir,164,33.7782,76.5762,7,546
1380,2020-04-28,Jharkhand,13,23.6102,85.2799,3,82
1381,2020-04-28,Karnataka,193,15.3173,75.7139,20,512
1382,2020-04-28,Kerala,355,10.8505,76.2711,4,481
1383,2020-04-28,Ladakh,14,34.2996,78.2932,0,20
1384,2020-04-28,Madhya Pradesh,302,22.9734,78.6569,110,2168
1385,2020-04-28,Maharashtra,1282,19.7515,75.7139,369,8590
1386,2020-04-28,Manipur,2,24.6637,93.9063,0,2
1387,2020-04-28,Meghalaya,0,25.467,91.3662,1,12
1388,2020-04-28,Mizoram,0,23.1645,92.9376,0,1
1389,2020-04-28,Odisha,37,20.9517,85.0985,1,118
1390,2020-04-28,Puducherry,3,11.9416,79.8083,0,8
1391,2020-04-28,Punjab,71,31.1471,75.3412,18,313
1392,2020-04-28,Rajasthan,669,27.0238,74.2179,46,2262
1393,2020-04-28,Tamil Nadu,1101,11.1271,78.6569,24,1937
1394,2020-04-28,Telengana,321,18.1124,79.0193,26,1004
1395,2020-04-28,Tripura,2,23.9408,91.9882,0,2
1396,2020-04-28,Uttar Pradesh,335,26.8467,80.9462,31,1955
1397,2020-04-28,Uttarakhand,33,30.0668,79.0193,0,51
1398,2020-04-28,West Bengal,109,22.9868,87.855,20,697
