,Date,Name of State / UT,Cured/Discharged/Migrated,Latitude,Longitude,Death,Total Confirmed cases
1431,2020-04-30,Andaman and Nicobar Islands,15,11.7401,92.6586,0,33
1432,2020-04-30,Andhra Pradesh,287,15.9129,79.74,31,1332
1433,2020-04-30,Arunachal Pradesh,1,28.218000000000004,94.7278,0,1
1434,2020-04-30,Assam,29,26.2006,92.9376,1,38
1435,2020-04-30,Bihar,65,25.0961,85.3131,2,392
1436,2020-04-30,Chandigarh,17,30.7333,76.7794,0,56
1437,2020-04-30,Chhattisgarh,34,21.2787,81.8661,0,38
1438,2020-04-30,Delhi,1092,28.7041,77.1025,56,3439
1439,2020-04-30,Goa,7,15.2993,74.124,0,7
1440,2020-04-30,Gujarat,527,22.2587,71.1924,197,4082
1441,2020-04-30,Haryana,209,29.0588,76.0856,3,310
1442,2020-04-30,Himachal Pradesh,25,31.1048,77.1734,1,40
1443,2020-04-30,Jammu and Kashmir,192,33.7782,76.5762,8,581
1444,2020-04-30,Jharkhand,19,23.6102,85.2799,3,107
1445,2020-04-30,Karnataka,216,15.3173,75.7139,21,535
1446,2020-04-30,Kerala,369,10.8505,76.2711,4,495
1447,2020-04-30,Ladakh,16,34.2996,78.2932,0,22
1448,2020-04-30,Madhya Pradesh,461,22.9734,78.6569,129,2561
1449,2020-04-30,Maharashtra,1593,19.7515,75.7139,432,9915
1450,2020-04-30,Manipur,2,24.6637,93.9063,0,2
1451,2020-04-30,Meghalaya,0,25.467,91.3662,1,12
1452,2020-04-30,Mizoram,0,23.1645,92.9376,0,1
1453,2020-04-30,Odisha,39,20.9517,85.0985,1,125
1454,2020-04-30,Puducherry,3,11.9416,79.8083,0,8
1455,2020-04-30,Punjab,90,31.1471,75.3412,19,357
1456,2020-04-30,Rajasthan,768,27.0238,74.2179,51,2438
1457,2020-04-30,Tamil Nadu,1210,11.1271,78.6569,27,2162
1458,2020-04-30,Telengana,367,18.1124,79.0193,26,1012
1459,2020-04-30,Tripura,2,23.9408,91.9882,0,2
1460,2020-04-30,Uttar Pradesh,510,26.8467,80.9462,39,2134
1461,2020-04-30,Uttarakhand,36,30.0668,79.0193,0,55
1462,2020-04-30,West Bengal,124,22.9868,87.855,22,758
